Entry Point,Month,Value,Year,Category,Region,Conservation Area,Visitors,Metric,English_Year,Group,Count,Type,Hotel_Type,Hotel_Count,Bed_Count,Types of Course,Details,Third Country,Indian,% Change,Gender,Age_Group,Total,Nationality,Percent
,,40098,2009,Not Specified,,,,,,,,,,,,,,,,,,,,,
,,263938,2010,Holiday Pleasure,,,,,,,,,,,,,,,,,,,,,
,,70218,2010,Trekking & Mountaineering,,,,,,,,,,,,,,,,,,,,,
,,21377,2010,Business,,,,,,,,,,,,,,,,,,,,,
,,101335,2010,Pilgrimage,,,,,,,,,,,,,,,,,,,,,
,,26374,2010,Official,,,,,,,,,,,,,,,,,,,,,
,,9627,2010,Conv./ Conf.,,,,,,,,,,,,,,,,,,,,,
,,52347,2010,Others,,,,,,,,,,,,,,,,,,,,,
,,57651,2010,Not Specified,,,,,,,,,,,,,,,,,,,,,
,,602867,2010,Total,,,,,,,,,,,,,,,,,,,,,
,,425721,2011,Holiday Pleasure,,,,,,,,,,,,,,,,,,,,,
,,86260,2011,Trekking & Mountaineering,,,,,,,,,,,,,,,,,,,,,
,,17859,2011,Business,,,,,,,,,,,,,,,,,,,,,
,,63783,2011,Pilgrimage,,,,,,,,,,,,,,,,,,,,,
,,24054,2011,Official,,,,,,,,,,,,,,,,,,,,,
,,10836,2011,Conv./ Conf.,,,,,,,,,,,,,,,,,,,,,
,,37311,2011,Others,,,,,,,,,,,,,,,,,,,,,
,,70391,2011,Not Specified,,,,,,,,,,,,,,,,,,,,,
,,379627,2012,Holiday Pleasure,,,,,,,,,,,,,,,,,,,,,
,,105015,2012,Trekking & Mountaineering,,,,,,,,,,,,,,,,,,,,,
,,24785,2012,Business,,,,,,,,,,,,,,,,,,,,,
,,109854,2012,Pilgrimage,,,,,,,,,,,,,,,,,,,,,
,,30460,2012,Official,,,,,,,,,,,,,,,,,,,,,
,,13646,2012,Conv./ Conf.,,,,,,,,,,,,,,,,,,,,,
,,48540,2012,Others,,,,,,,,,,,,,,,,,,,,,
,,91165,2012,Not Specified,,,,,,,,,,,,,,,,,,,,,
,,437891,2013,Holiday Pleasure,,,,,,,,,,,,,,,,,,,,,
,,97309,2013,Trekking & Mountaineering,,,,,,,,,,,,,,,,,,,,,
,,30309,2013,Business,,,,,,,,,,,,,,,,,,,,,
,,40678,2013,Pilgrimage,,,,,,,,,,,,,,,,,,,,,
,,39881,2013,Official,,,,,,,,,,,,,,,,,,,,,
,,15952,2013,Conv./ Conf.,,,,,,,,,,,,,,,,,,,,,
,,62214,2013,Others,,,,,,,,,,,,,,,,,,,,,
,,73381,2013,Not Specified,,,,,,,,,,,,,,,,,,,,,
,,395849,2014,Holiday Pleasure,,,,,,,,,,,,,,,,,,,,,
,,97185,2014,Trekking & Mountaineering,,,,,,,,,,,,,,,,,,,,,
,,24494,2014,Business,,,,,,,,,,,,,,,,,,,,,
,,98765,2014,Pilgrimage,,,,,,,,,,,,,,,,,,,,,
,,32395,2014,Official,,,,,,,,,,,,,,,,,,,,,
,,13432,2014,Conv./ Conf.,,,,,,,,,,,,,,,,,,,,,
,,53728,2014,Others,,,,,,,,,,,,,,,,,,,,,
,,74271,2014,Not Specified,,,,,,,,,,,,,,,,,,,,,
,,386065,2015,Holiday Pleasure,,,,,,,,,,,,,,,,,,,,,
,,9162,2015,Trekking & Mountaineering,,,,,,,,,,,,,,,,,,,,,
,,20876,2015,Business,,,,,,,,,,,,,,,,,,,,,
,,14996,2015,Pilgrimage,,,,,,,,,,,,,,,,,,,,,
,,21479,2015,Official,,,,,,,,,,,,,,,,,,,,,
,,9038,2015,Conv./ Conf.,,,,,,,,,,,,,,,,,,,,,
,,77354,2015,Others,,,,,,,,,,,,,,,,,,,,,
,,0,2015,Not Specified,,,,,,,,,,,,,,,,,,,,,
,,489451,2016,Holiday Pleasure,,,,,,,,,,,,,,,,,,,,,
,,66490,2016,Trekking & Mountaineering,,,,,,,,,,,,,,,,,,,,,
,,24322,2016,Business,,,,,,,,,,,,,,,,,,,,,
,,82830,2016,Pilgrimage,,,,,,,,,,,,,,,,,,,,,
,,21310,2016,Official,,,,,,,,,,,,,,,,,,,,,
,,12801,2016,Conv./ Conf.,,,,,,,,,,,,,,,,,,,,,
,,55797,2016,Others,,,,,,,,,,,,,,,,,,,,,
,,0,2016,Not Specified,,,,,,,,,,,,,,,,,,,,,
,,658153,2017,Holiday Pleasure,,,,,,,,,,,,,,,,,,,,,
,,75217,2017,Trekking & Mountaineering,,,,,,,,,,,,,,,,,,,,,
,,0,2017,Business,,,,,,,,,,,,,,,,,,,,,
,,141033,2017,Pilgrimage,,,,,,,,,,,,,,,,,,,,,
,,0,2017,Official,,,,,,,,,,,,,,,,,,,,,
,,65815,2017,Conv./ Conf.,,,,,,,,,,,,,,,,,,,,,
,,0,2017,Others,,,,,,,,,,,,,,,,,,,,,
,,0,2017,Not Specified,,,,,,,,,,,,,,,,,,,,,
,,703843,2018,Holiday Pleasure,,,,,,,,,,,,,,,,,,,,,
,,187692,2018,Trekking & Mountaineering,,,,,,,,,,,,,,,,,,,,,
,,0,2018,Business,,,,,,,,,,,,,,,,,,,,,
,,169180,2018,Pilgrimage,,,,,,,,,,,,,,,,,,,,,
,,0,2018,Official,,,,,,,,,,,,,,,,,,,,,
,,112357,2018,Conv./ Conf.,,,,,,,,,,,,,,,,,,,,,
,,0,2018,Others,,,,,,,,,,,,,,,,,,,,,
,,0,2018,Not Specified,,,,,,,,,,,,,,,,,,,,,
,,778173,2019,Holiday Pleasure,,,,,,,,,,,,,,,,,,,,,
,,197786,2019,Trekking & Mountaineering,,,,,,,,,,,,,,,,,,,,,
,,0,2019,Business,,,,,,,,,,,,,,,,,,,,,
,,171937,2019,Pilgrimage,,,,,,,,,,,,,,,,,,,,,
,,0,2019,Official,,,,,,,,,,,,,,,,,,,,,
,,49301,2019,Conv./ Conf.,,,,,,,,,,,,,,,,,,,,,
,,0,2019,Others,,,,,,,,,,,,,,,,,,,,,
,,0,2019,Not Specified,,,,,,,,,,,,,,,,,,,,,
,,139202,2020,Holiday Pleasure,,,,,,,,,,,,,,,,,,,,,
,,28530,2020,Trekking & Mountaineering,,,,,,,,,,,,,,,,,,,,,
,,0,2020,Business,,,,,,,,,,,,,,,,,,,,,
,,35893,2020,Pilgrimage,,,,,,,,,,,,,,,,,,,,,
,,0,2020,Official,,,,,,,,,,,,,,,,,,,,,
,,26460,2020,Conv./ Conf.,,,,,,,,,,,,,,,,,,,,,
,,0,2020,Others,,,,,,,,,,,,,,,,,,,,,
,,0,2020,Not Specified,,,,,,,,,,,,,,,,,,,,,
,,100843,2021,Holiday Pleasure,,,,,,,,,,,,,,,,,,,,,
,,15549,2021,Trekking & Mountaineering,,,,,,,,,,,,,,,,,,,,,
,,0,2021,Business,,,,,,,,,,,,,,,,,,,,,
,,11172,2021,Pilgrimage,,,,,,,,,,,,,,,,,,,,,
,,0,2021,Official,,,,,,,,,,,,,,,,,,,,,
,,23398,2021,Conv./ Conf.,,,,,,,,,,,,,,,,,,,,,
,,0,2021,Others,,,,,,,,,,,,,,,,,,,,,
,,0,2021,Not Specified,,,,,,,,,,,,,,,,,,,,,
,,397820,2022,Holiday Pleasure,,,,,,,,,,,,,,,,,,,,,
,,61701,2022,Trekking & Mountaineering,,,,,,,,,,,,,,,,,,,,,
,,0,2022,Business,,,,,,,,,,,,,,,,,,,,,
,,79146,2022,Pilgrimage,,,,,,,,,,,,,,,,,,,,,
,,0,2022,Official,,,,,,,,,,,,,,,,,,,,,
,,76202,2022,Conv./ Conf.,,,,,,,,,,,,,,,,,,,,,
,,0,2022,Others,,,,,,,,,,,,,,,,,,,,,
,,0,2022,Not Specified,,,,,,,,,,,,,,,,,,,,,
,,634301,2023,Holiday Pleasure,,,,,,,,,,,,,,,,,,,,,
,,154262,2023,Trekking & Mountaineering,,,,,,,,,,,,,,,,,,,,,
,,0,2023,Business,,,,,,,,,,,,,,,,,,,,,
,,132949,2023,Pilgrimage,,,,,,,,,,,,,,,,,,,,,
,,0,2023,Official,,,,,,,,,,,,,,,,,,,,,
,,93370,2023,Conv./ Conf.,,,,,,,,,,,,,,,,,,,,,
,,0,2023,Others,,,,,,,,,,,,,,,,,,,,,
,,0,2023,Not Specified,,,,,,,,,,,,,,,,,,,,,
,,693119,2024,Holiday Pleasure,,,,,,,,,,,,,,,,,,,,,
,,166394,2024,Trekking & Mountaineering,,,,,,,,,,,,,,,,,,,,,
,,0,2024,Business,,,,,,,,,,,,,,,,,,,,,
,,175575,2024,Pilgrimage,,,,,,,,,,,,,,,,,,,,,
,,0,2024,Official,,,,,,,,,,,,,,,,,,,,,
,,112460,2024,Conv./ Conf.,,,,,,,,,,,,,,,,,,,,,
,,0,2024,Others,,,,,,,,,,,,,,,,,,,,,
,,0,2024,Not Specified,,,,,,,,,,,,,,,,,,,,,
,,922,2001,,Mustang,,,,,,,,,,,,,,,,,,,,
,,488,2001,,Lower Dolpa,,,,,,,,,,,,,,,,,,,,
,,119,2001,,Upper Dolpa,,,,,,,,,,,,,,,,,,,,
,,337,2001,,Humla,,,,,,,,,,,,,,,,,,,,
,,798,2001,,Manaslu,,,,,,,,,,,,,,,,,,,,
